,,,,,,,,,,,,,NOW,,,,not sure about the top,,,,,,,,,,
Layer,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2
Ribbon,10,12,13,14,18,19,29,28,30,31,32,34,36,38,40,41,43,44,46,48,50,5,7,9,11,18,5
Which,both,both,both,left,left,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,left,both,left,left
L X min,33250,33420,32735,33690,33490,31925,32700,33565,33450,32450,32875,32840,33266,32571,33058,32600,32300,32925,33150,33350,32900,32800,33090,32125,32850,33150,32935
L X max,34050,33650,33050,34100,33880,32300,33600,33750,34050,33150,33500,33300,33445,32833,33255,33800,33500,33250,33300,33512,33200,33500,33300,32450,33060,33400,33500
L Y min,32600,32670,34000,32300,32400,34200,34000,32150,33350,34100,32700,32500,32900,32600,32750,34200,34300,32583,33000,32500,32420,33260,32750,32625,32500,32500,34750
L Y max,36900,33185,36600,34250,34550,36500,41000,33400,37000,40100,36250,35500,34100,33750,34000,45000,45000,34600,33900,33250,34000,34250,34000,34400,34000,35000,39000
L B m,4,6.3,8.1,5.7,5,6.5,6.6,7,4,8.3,5,8,6,4,,6.4,8.8,7,6,3.8,5,5.8,6,4.6,5.9,,8.5
L B X,33400,33500,32800,33800,33570,32100,32800,33650,33600,32700,33500,32930,33325,32770,,32800,32750,33050,33200,33415,33000,32925,33200,32300,33000,,33000
L B Y,32700,32800,34250,32500,32500,35000,34500,32400,33500,35000,35000,32625,32875,33000,,35300,36800,32666,33030,32500,32500,33250,33000,33050,33000,,34000
L T m,5.2,6.4,8.1,,6.4,7.1,8.8,7,,,,8.2,9,4,6,9.5,,7.6,8,5.5,9,8.5,7.7,,,7.9,8.5
L T X,33500,33400,32900,,33522,32200,32800,33600,,,,32900,33312,32625,33150,32720,,33000,33175,33375,32960,32900,33200,,,33250,33000
L T Y,35000,32700,36000,,32600,37000,35500,32650,,,,32810,33240,32990,33500,36000,,33000,33200,32500,32750,33500,33750,,,34000,37400
R X min,-15,0,32,0,0,50,35,0,0,28,40,0,0,0,0,0,0,0,-10,0,0,0,0,-10,0,0,15
R x max,760,300,350,280,380,370,850,250,500,700,500,500,160,260,200,1200,1100,270,125,150,300,400,220,270,200,330,550
R y min,500,100,80,60,190,200,250,75,250,270,150,222,80,110,333,200,200,500,50,90,50,125,50,0,100,0,100
R y max,4400,2200,2700,1760,2200,2500,7500,1300,3700,6500,3000,3125,1300,1100,1500,10500,11500,2050,1000,1000,1550,2500,1500,2000,1400,2600,5000
R B m,6,6.4,8.3,5.7,6.4,6.7,6.6,7,6.2,8,5,6.6,6,4,10,4.4,6.4,9,7.2,4.5,5,5.5,6,,5.8,,
R B X,200,100,200,100,205,150,200,11,200,400,300,400,75,200,200,400,500,200,50,150,100,45,100,,200,,
R B Y,900,490,1170,200,1000,500,990,-250,1000,2000,1000,2000,200,500,1000,2000,2500,1000,150,600,350,0,250,,900,,
R T m,8.3,7.5,8.3,5.7,6.4,,8.8,7,,,5.7,6.6,8.3,4,10,,,9,18,,5,,8,,,,8.8
R T X,0,50,200,0,120,,200,100,,,100,100,95,50,0,,,50,20,,100,,100,,,,450
R T Y,1000,750,2100,200,1000,,2000,1000,,,1000,1000,1000,550,500,,,1000,400,,770,,1000,,,,5000
L p min,,,,,,,,,33500,,,,,,,,,,,,,,,,,,
L p max,,,,,,,,,33770,,,,,,,,,,,,,,,,,,
R p min,,,,,,,,,-20,,,,,,,,,,,,,,,,,,
R p max,,,,,,,,,270,,,,,,,,,,,,,,,,,,
